source_file,Date,HomeTeam,AwayTeam,Inning,Top/Bottom,Outs,Balls,Strikes,PAofInning,PitchofPA,Pitcher,PitcherTeam,PitcherThrows,Batter,BatterTeam,PitchCall,KorBB,AutoPitchType,TaggedPitchType,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,PlateLocSide,PlateLocHeight,PlayResult,TaggedHitType,ExitSpeed,Angle,Direction,Distance
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,1,1,"Foster, Owen",RIV_WAV,Right,"Carter, Alex",OAK_COL,BallCalled,,Changeup,Changeup,83.3,1809.0,10.7,-12.8,-0.1,2.1,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,1,2,"Foster, Owen",RIV_WAV,Right,"Carter, Alex",OAK_COL,StrikeCalled,,Four-Seam,Four-Seam,92.9,2377.0,14.1,-6.1,0.33,2.44,Out,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,0,0,0,2,1,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,BallCalled,,Changeup,Changeup,80.7,2014.0,8.6,-10.5,-0.81,2.03,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,2,2,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,FoulBall,,Slider,Slider,80.7,2483.0,3.6,4.7,0.79,2.86,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,2,3,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,StrikeSwinging,,Sinker,Sinker,90.4,2278.0,7.3,-11.8,0.36,1.77,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,0,0,0,2,4,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,StrikeCalled,,Slider,Slider,79.5,2538.0,0.7,3.4,1.99,2.02,Out,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,3,1,"Monroe, Jake",OAK_COL,Right,"Reed, Tyler",OAK_COL,StrikeSwinging,,Sinker,Sinker,92.4,2190.0,5.0,-9.4,-0.3,1.98,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,0,0,0,3,2,"Monroe, Jake",OAK_COL,Right,"Reed, Tyler",OAK_COL,StrikeSwinging,,Sinker,Sinker,90.7,2205.0,7.5,-11.4,1.13,2.76,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,3,3,"Monroe, Jake",OAK_COL,Right,"Reed, Tyler",OAK_COL,StrikeCalled,,Four-Seam,Four-Seam,92.7,2240.0,19.3,-1.1,0.15,2.63,Out,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,4,1,"Monroe, Jake",OAK_COL,Right,"Sullivan, Noah",OAK_COL,FoulBall,,Changeup,Changeup,84.5,1933.0,6.4,-17.5,0.06,1.95,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,4,2,"Monroe, Jake",OAK_COL,Right,"Sullivan, Noah",OAK_COL,BallCalled,Walk,Sinker,Sinker,91.4,2159.0,8.2,-12.0,0.37,2.54,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,5,1,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,StrikeCalled,,Sinker,Sinker,88.3,2096.0,5.4,-13.6,-0.54,2.44,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,5,2,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,StrikeCalled,,Changeup,Changeup,82.1,1996.0,7.4,-10.1,-0.69,2.36,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,1,0,0,5,3,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,FoulBall,,Changeup,Changeup,82.3,1744.0,8.9,-12.9,-0.37,2.61,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Top,2,0,0,5,4,"Ortiz, Caleb",OAK_COL,Right,"Blake, Mason",OAK_COL,BallCalled,Walk,Sinker,Sinker,88.0,2239.0,7.1,-13.7,0.22,1.41,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,0,0,0,1,1,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,StrikeCalled,,Sinker,Sinker,88.0,2227.0,8.6,-12.7,-1.1,2.8,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,1,0,0,1,2,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,FoulBall,,Slider,Slider,79.0,2590.0,0.7,9.5,0.52,2.65,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,0,0,0,1,3,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,FoulBall,,Changeup,Changeup,84.0,1740.0,8.5,-11.5,-0.63,2.51,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,0,0,0,1,4,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,StrikeCalled,,Four-Seam,Four-Seam,91.6,2358.0,15.2,-2.3,0.02,3.01,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,2,0,0,1,5,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,StrikeSwinging,,Sinker,Sinker,91.0,2022.0,8.1,-12.4,-0.43,2.26,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,1,0,0,1,6,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,InPlay,,Changeup,Changeup,85.0,1712.0,4.4,-12.5,-0.27,3.05,Out,Popup,98.2,21.0,12.9,171.0
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,1,0,0,2,1,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,BallCalled,,Four-Seam,Four-Seam,90.7,2438.0,16.2,-9.1,0.06,1.89,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,2,0,0,2,2,"Keller, Ryan",OAK_COL,Left,"Reed, Tyler",OAK_COL,StrikeSwinging,,Sinker,Sinker,88.5,2118.0,8.8,-12.9,0.26,1.79,Out,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,0,0,0,3,1,"Keller, Ryan",OAK_COL,Left,"Carter, Alex",OAK_COL,FoulBall,,Sinker,Sinker,91.6,2144.0,5.5,-9.3,-1.18,3.27,,,,,,
synthetic_game_01.csv,2026-06-15,OAK_COL,RIV_WAV,1,Bottom,0,0,0,3,2,"Keller, Ryan",OAK_COL,Left,"Carter, Alex",OAK_COL,FoulBall,,Changeup,Changeup,83.1,1822.0,9.8,-13.7,0.57,2.0,,,,,,
